school_code,affiliated_school
3014,"Victoria Junior College"
7001,"Anglo-Chinese Junior College"
7001,"Anglo-Chinese School (Junior)"
7001,"Anglo-Chinese School (Primary)"
7002,"Catholic Junior College"
7004,"Catholic Junior College"
7004,"CHIJ Primary (Toa Payoh)"
7005,"Anglo-Chinese Junior College"
7005,"Geylang Methodist School (Primary)"
7008,"Catholic Junior College"
7008,"CHIJ (Katong) Primary"
7011,"Catholic Junior College"
7011,"Montfort Junior School"
7014,"Singapore Chinese Girls' Primary School"
7015,"St. Andrew's Junior College"
7015,"St. Andrew's Junior School"
7016,"Canossa Catholic Primary School"
7016,"Catholic Junior College"
7016,"St. Anthony's Canossian Primary School"
7017,"Catholic Junior College"
7017,"St. Gabriel's Primary School"
7019,"Catholic Junior College"
7019,"CHIJ Our Lady of Good Counsel"
7019,"CHIJ Our Lady of the Nativity"
7020,"Catholic Junior College"
7020,"De La Salle School"
7020,"St. Anthony's Primary School"
7020,"St. Joseph's Institution Junior"
7020,"St. Stephen's School"
7021,"St. Andrew's Junior College"
7021,"St. Margaret's School (Primary)"
7022,"Catholic Junior College"
7022,"De La Salle School"
7022,"St. Anthony's Primary School"
7022,"St. Joseph's Institution Junior"
7022,"St. Stephen's School"
7023,"Catholic Junior College"
7023,"CHIJ (Kellock)"
7023,"CHIJ Our Lady Queen of Peace"
7025,"St. Andrew's Junior College"
7026,"Anglo-Chinese Junior College"
7026,"Paya Lebar Methodist Girls' School (Primary)"
7028,"Kuo Chuan Presbyterian Primary School"
7028,"St. Andrew's Junior College"
7029,"St. Andrew's Junior College"
7029,"St. Hilda's Primary School"
7030,"Anglo-Chinese Junior College"
7030,"Methodist Girls' School (Primary)"
7031,"Catholic Junior College"
7032,"Anglo-Chinese Junior College"
7032,"Anglo-Chinese School (Junior)"
7032,"Anglo-Chinese School (Primary)"
7101,"St. Andrew's Junior College"
7102,"Catholic High School (Primary Section)"
7102,"Catholic Junior College"
7104,"Nanyang Junior College"
7105,"Nanyang Junior College"
7108,"Catholic Junior College"
7108,"Holy Innocents' Primary School"
7111,"Catholic Junior College"
7111,"Maris Stella High School (Primary Section)"
7114,"Nanyang Primary School"
7118,"Catholic Junior College"
7118,"CHIJ St. Nicholas Girls' School (Primary Section)"
7307,"Maha Bodhi School"
7307,"Mee Toh School"
7308,"St. Andrew's Junior College"
7309,"Anglo-Chinese Junior College"
7309,"Fairfield Methodist School (Primary)"
7310,"Ngee Ann Primary School"
