School_Code,IP_Affiliation,IP_NonAffiliation,Express_Affiliation,Express_NonAffiliation,NA_Affiliation,NA_NonAffiliation,NT_Affiliation,NT_NonAffiliation
3072,-,-,-,"14 - 21",-,"22 - 25",-,"25 - 28"
3201,-,-,-,"12 - 17",-,"21 - 24",-,"25 - 28"
3001,-,-,-,"5 - 10",-,"21 - 22",-,"25 - 26"
3026,-,-,-,"7 - 18",-,"21 - 24",-,"25 - 28"
7101,-,-,-,"6(M) - 14(P)",-,-,-,-
7032,-,-,"6 - 22","7 - 10","21 - 25","21 - 21","25 - 27","25 - 28"
7001,-,"4 - 7","7 - 13","7 - 8",-,-,-,-
7002,-,-,-,"14 - 22",-,"21 - 25",-,"25 - 30"
3002,-,-,-,"14 - 22",-,"21 - 25",-,"26 - 29"
3003,-,-,-,"11 - 18",-,"21 - 24",-,"25 - 28"
3069,-,-,-,"15 - 20",-,"21 - 25",-,"25 - 27"
3027,-,-,-,"15 - 20",-,"21 - 25",-,"25 - 28"
3225,-,-,-,"13 - 18",-,"21 - 25",-,"26 - 30"
3021,-,-,-,"5 - 22",-,"23 - 25",-,"25 - 29"
3224,-,-,-,"14 - 22",-,"21 - 25",-,"25 - 30"
3043,-,-,-,"11 - 17",-,"21 - 23",-,"25 - 28"
3202,-,-,-,"7 - 22",-,"22 - 25",-,"26 - 30"
3044,-,-,-,"12 - 16",-,"21 - 24",-,"25 - 28"
3203,-,-,-,"12 - 22",-,"22 - 25",-,"26 - 28"
3204,-,-,-,"5 - 12",-,"21 - 22",-,"25 - 26"
3040,-,-,-,"13 - 19",-,"21 - 25",-,"25 - 30"
3621,-,-,-,"12 - 22",-,"22 - 25",-,"25 - 30"
7102,-,"4 - 8(M)","8(M) - 12","7(D) - 9(M)",-,-,-,-
3004,-,"4 - 8",-,"5 - 9",-,-,-,-
3402,-,-,-,"15 - 22",-,"22 - 25",-,"26 - 30"
7008,-,-,"11 - 20","12 - 16","21 - 25","21 - 24","26 - 27","25 - 30"
7004,-,-,"7 - 20","7 - 11","21 - 25","21 - 22","25 - 28","25 - 27"
7019,-,-,"8 - 20","9 - 14","21 - 25","21 - 22","25 - 28","25 - 26"
7118,-,"4(D) - 7(M)","7(M) - 14","5 - 8",-,-,-,-
7023,-,-,"10 - 20","11 - 15","21 - 25","21 - 23","26 - 29","25 - 30"
7025,-,-,-,"12 - 18",-,"21 - 24",-,"25 - 30"
3055,-,-,-,"15 - 21",-,"21 - 25",-,"26 - 28"
7104,-,-,-,"6(M) - 11",-,-,-,-
7105,-,-,-,"4 - 13",-,"21 - 22",-,"25 - 27"
3029,-,-,-,"10 - 14",-,"21 - 23",-,"25 - 27"
3012,-,-,-,"8 - 15",-,"21 - 23",-,"25 - 27"
3622,-,-,-,"15 - 19",-,"21 - 24",-,"25 - 27"
3005,-,-,-,"6 - 12",-,-,-,-
3056,-,-,-,"6 - 22",-,"21 - 25",-,"25 - 30"
3228,-,-,-,"11 - 18",-,"21 - 25",-,"26 - 30"
3503,-,-,-,"13 - 22",-,"22 - 25",-,"26 - 30"
3101,-,"5(D) - 8(M)",-,-,-,-,-,-
3207,-,-,-,"10 - 15",-,"21 - 23",-,"25 - 27"
3609,-,-,-,"12 - 22",-,"21 - 25",-,"26 - 28"
3075,-,-,-,"6 - 15",-,"21 - 22",-,"25 - 27"
3623,-,-,-,"10 - 16",-,"21 - 23",-,"25 - 30"
7309,-,-,"8 - 20","8 - 10","21 - 24","21 - 21","25 - 28","25 - 26"
3614,-,-,-,"5 - 14",-,"21 - 23",-,"25 - 28"
3006,-,-,-,"9 - 16",-,"21 - 24",-,"25 - 27"
7005,-,-,"13 - 21","9 - 15","22 - 25","21 - 23","25 - 28","25 - 26"
3074,-,-,-,"11 - 18",-,"21 - 23",-,"25 - 27"
3051,-,-,-,"4 - 22",-,"22 - 25",-,"25 - 28"
3238,-,-,-,"12 - 22",-,"22 - 25",-,"26 - 30"
7031,-,-,-,"8 - 18",-,"21 - 24",-,"25 - 28"
3048,-,-,-,"13 - 19",-,"21 - 25",-,"25 - 28"
7108,-,-,"7 - 22","10 - 15","22 - 25","21 - 23","26 - 28","25 - 27"
3046,-,-,-,"10 - 22",-,"21 - 24",-,"25 - 30"
3226,-,-,-,"10 - 16",-,"21 - 23",-,"25 - 26"
806,-,"4(D) - 7(M)",-,-,-,-,-,-
3608,-,-,-,"13 - 22",-,"21 - 25",-,"25 - 28"
3211,-,-,-,"7 - 16",-,"21 - 24",-,"25 - 28"
3068,-,-,-,"9 - 18",-,"21 - 24",-,"25 - 27"
3063,-,-,-,"16 - 20",-,"22 - 25",-,"25 - 28"
3066,-,-,-,"11 - 22",-,"21 - 25",-,"25 - 30"
3619,-,-,-,"12 - 19",-,"21 - 24",-,"25 - 28"
3065,-,-,-,"10 - 15",-,"21 - 23",-,"25 - 27"
7028,-,-,"10 - 20","8 - 10","21 - 25","21 - 23","26 - 28","26 - 30"
3077,-,-,-,"6 - 22",-,"21 - 25",-,"26 - 30"
7307,-,-,"17 - 22","8 - 22","23 - 25","21 - 25","27 - 28","26 - 30"
7111,-,-,"8 - 16","8(P) - 14(P)",-,-,-,-
3615,-,-,-,"9 - 22",-,"21 - 25",-,"26 - 30"
3031,-,-,-,"14 - 18",-,"21 - 24",-,"25 - 30"
3076,-,-,-,"15 - 22",-,"21 - 24",-,"25 - 28"
7030,-,"4 - 6","7 - 17","6 - 8",-,-,-,-
7011,-,-,"14 - 22","15 - 21","23 - 25","22 - 25","26 - 26","26 - 29"
7112,-,-,-,"5(D) - 12",-,-,-,-
3047,-,-,-,"6(D) - 11",-,-,-,-
7114,"4(D) - 8(M)","4(D) - 7(D)",-,-,-,-,-,-
701,-,"4 - 7",-,-,-,-,-,-
3214,-,-,-,"13 - 20",-,"22 - 24",-,"25 - 28"
3507,-,-,-,"15 - 20",-,"21 - 25",-,"26 - 30"
7310,-,-,"10 - 16","6 - 13","21 - 25","21 - 21","26 - 28","25 - 26"
3071,-,-,-,"13 - 19",-,"21 - 24",-,"25 - 28"
3612,-,-,-,"14 - 22",-,"21 - 25",-,"25 - 27"
3058,-,-,-,"6 - 22",-,"22 - 25",-,"26 - 28"
3605,-,-,-,"14 - 19",-,"21 - 24",-,"25 - 27"
3215,-,-,-,"10 - 22",-,"22 - 25",-,"26 - 30"
3613,-,-,-,"14 - 19",-,"21 - 24",-,"25 - 28"
3235,-,-,-,"13 - 19",-,"21 - 24",-,"26 - 28"
7026,-,-,"5 - 20","9 - 13","21 - 25","21 - 23","26 - 28","25 - 30"
3073,-,-,-,"9 - 17",-,"21 - 23",-,"25 - 26"
3232,-,-,-,"13 - 22",-,"23 - 25",-,"26 - 30"
3061,-,-,-,"11 - 20",-,"22 - 25",-,"25 - 30"
7308,-,-,-,"8 - 14",-,"21 - 23",-,"25 - 28"
3070,-,-,-,"15 - 20",-,"21 - 24",-,"25 - 27"
3508,-,-,-,"6 - 22",-,"21 - 25",-,"26 - 28"
3007,-,-,-,"12 - 18",-,"21 - 24",-,"25 - 27"
3008,-,"4 - 6",-,-,-,-,-,-
3009,-,"4 - 6",-,-,-,-,-,-
3618,-,-,-,"8 - 22",-,"22 - 25",-,"26 - 30"
3103,-,"4(M) - 9(M)",-,-,-,-,-,-
3239,-,-,-,"7 - 15",-,"21 - 23",-,"25 - 28"
3606,-,-,-,"9 - 22",-,"23 - 25",-,"25 - 30"
3607,-,-,-,"13 - 20",-,"21 - 24",-,"25 - 28"
3509,-,-,-,"10 - 22",-,"23 - 25",-,"26 - 29"
3010,-,-,-,"14 - 22",-,"22 - 24",-,"25 - 28"
7014,-,"5 - 8","8 - 17","7 - 8",-,-,-,-
3053,-,-,-,"14 - 22",-,"22 - 25",-,"26 - 30"
7015,-,-,"8 - 22","9 - 10","21 - 25","21 - 22","25 - 29","25 - 26"
7016,-,-,"11 - 22","12 - 16","21 - 25","21 - 24","26 - 28","25 - 30"
7017,-,-,"14 - 22","11 - 18","22 - 25","21 - 24","26 - 29","26 - 29"
7029,-,-,"12 - 22","12 - 15","22 - 25","21 - 23","26 - 28","25 - 28"
7020,-,"4 - 8","8 - 12","7 - 10",-,-,-,-
7021,-,-,"9 - 20","6 - 14","21 - 25","21 - 22","26 - 29","25 - 30"
7022,-,-,"13 - 20",-,"21 - 25","21 - 23","25 - 29","25 - 26"
3304,-,-,-,"6 - 11",-,"21 - 22",-,"25 - 26"
3037,-,-,-,"10 - 20",-,"21 - 24",-,"25 - 28"
3013,-,-,-,"8 - 14",-,-,-,-
3512,-,-,-,"9 - 14",-,-,-,-
702,-,"5 - 9",-,-,-,-,-,-
3030,-,-,-,"6 - 13",-,"21 - 22",-,"25 - 26"
3611,-,-,-,"12 - 20",-,"22 - 24",-,"25 - 28"
3014,-,"5 - 8",-,"7 - 10",-,-,-,-
3067,-,-,-,"8 - 17",-,"21 - 23",-,"25 - 27"
3620,-,-,-,"13 - 22",-,"22 - 25",-,"26 - 30"
3015,-,-,-,"8 - 22",-,"23 - 25",-,"26 - 30"
3616,-,-,-,"13 - 20",-,"21 - 24",-,"25 - 28"
3604,-,-,-,"15 - 21",-,"21 - 25",-,"25 - 30"
3041,-,-,-,"11 - 22",-,"21 - 25",-,"25 - 30"
3050,-,-,-,"8 - 16",-,"21 - 23",-,"25 - 27"
3222,-,-,-,"13 - 22",-,"23 - 25",-,"25 - 30"
3020,-,-,-,"15 - 20",-,"21 - 24",-,"25 - 28"
3045,-,-,-,"8 - 13",-,"21 - 22",-,"25 - 27"
3223,-,-,-,"14 - 19",-,"21 - 25",-,"26 - 29"
3019,-,-,-,"15 - 22",-,"21 - 25",-,"26 - 30"
3307,-,-,-,"9 - 16",-,"21 - 22",-,"25 - 26"
7027,-,-,-,"12 - 22",-,"23 - 25",-,"26 - 29"
3617,-,-,-,"10 - 20",-,"21 - 24",-,"25 - 27"
3240,-,-,-,"6 - 14",-,"21 - 23",-,"25 - 28"
